TARGET_ID	INDIVIDUALS	STRATA
BOX414	BOX414	indo
BOX416	BOX416	indo
BOX417	BOX417	indo
BOX421	BOX421	indo
BOX422	BOX422	indo
BOX425	BOX425	indo
BOX426	BOX426	indo
BOX427	BOX427	indo
BOX428	BOX428	indo
BOX429	BOX429	indo
BOX430	BOX430	indo
BOX431	BOX431	indo
BOX444	BOX444	indo
BOX447	BOX447	indo
BOX449	BOX449	indo
BOX451	BOX451	indo
BOX47	BOX47	indo
BOX48	BOX48	indo
BOX49	BOX49	indo
C1	C1	chagos
C2	C2	chagos
C3	C3	chagos
C5	C5	chagos
Cocos	Cocos	cocos
D4	D4	chagos
D6	D6	chagos
DRNP1	DRNP1	north_gbr
DRNP2	DRNP2	north_gbr
DRNP3	DRNP3	north_gbr
DRNP4	DRNP4	north_gbr
DRNP5	DRNP5	north_gbr
DRNP6	DRNP6	north_gbr
DRNP7	DRNP7	north_gbr
DRNP8	DRNP8	north_gbr
E14	E14	north_gbr
E294	E294	north_gbr
E43	E43	north_gbr
E44	E44	north_gbr
E45	E45	north_gbr
E462	E462	north_gbr
E463	E463	north_gbr
E465	E465	north_gbr
E473	E473	cocos
E486	E486	cocos
E487	E487	cocos
E495	E495	cocos
E510	E510	north_gbr
E517	E517	north_gbr
E520	E520	north_gbr
GB04	GB04	walpole
GB06	GB06	walpole
GB07	GB07	walpole
GB08	GB08	walpole
GB09	GB09	walpole
GB10	GB10	walpole
GB100	GB100	petit_astrolabe
GB101	GB101	petit_astrolabe
GB102	GB102	petit_astrolabe
GB103	GB103	petit_astrolabe
GB104	GB104	petit_astrolabe
GB105	GB105	petit_astrolabe
GB106	GB106	petit_astrolabe
GB107	GB107	petit_astrolabe
GB108	GB108	petit_astrolabe
GB109	GB109	petit_astrolabe
GB11	GB11	walpole
GB110	GB110	petit_astrolabe
GB111	GB111	petit_astrolabe
GB112	GB112	petit_astrolabe
GB113	GB113	petit_astrolabe
GB114	GB114	petit_astrolabe
GB115	GB115	gln
GB116	GB116	gln
GB117	GB117	gln
GB118	GB118	gln
GB119	GB119	entrecasteaux
GB12	GB12	walpole
GB120	GB120	entrecasteaux
GB121	GB121	entrecasteaux
GB13	GB13	walpole
GB14	GB14	grand_astrolabe
GB15	GB15	walpole
GB16	GB16	grand_astrolabe
GB17	GB17	grand_astrolabe
GB18	GB18	grand_astrolabe
GB19	GB19	grand_astrolabe
GB20	GB20	grand_astrolabe
GB21	GB21	grand_astrolabe
GB22	GB22	grand_astrolabe
GB23	GB23	grand_astrolabe
GB24	GB24	grand_astrolabe
GB26	GB26	grand_astrolabe
GB27	GB27	grand_astrolabe
